x,rhoTime_1e-05,rhoRate_1e-05,rho
1.6992e+06,18.021,89.794,0.37489
1.7188e+06,18.238,89.794,0.37489
1.7383e+06,18.456,89.794,0.37489
1.7578e+06,18.673,89.794,0.37489
1.7773e+06,18.891,89.794,0.37489
1.7969e+06,19.108,89.794,0.37489
1.8164e+06,19.326,89.794,0.37489
1.8359e+06,19.541,90.838,0.37489
1.8555e+06,19.758,89.794,0.37489
1.875e+06,19.976,89.794,0.37489
1.8945e+06,20.274,65.648,0.37489
1.9141e+06,20.581,63.513,0.37489
1.9336e+06,20.889,63.513,0.37489
1.9531e+06,21.139,78.121,0.37489
1.9727e+06,21.356,89.794,0.37489
1.9922e+06,21.574,89.794,0.37489
2.0117e+06,21.789,90.838,0.37489
2.0313e+06,22.006,89.794,0.37489
2.0508e+06,22.316,63.001,0.37489
2.0703e+06,22.624,63.513,0.37489
2.0898e+06,22.931,63.513,0.37489
2.1094e+06,23.169,82.233,0.37489
2.1289e+06,23.386,89.794,0.37489
2.1484e+06,23.601,90.838,0.37489
2.168e+06,23.816,90.838,0.37489
2.1875e+06,24.049,84.001,0.37489
2.207e+06,24.356,63.513,0.37489
2.2266e+06,24.664,63.513,0.37489
2.2461e+06,24.971,63.513,0.37489
2.2656e+06,25.196,86.801,0.37489
2.2852e+06,25.411,90.838,0.37489
2.3047e+06,25.629,89.794,0.37489
2.3242e+06,25.844,90.838,0.37489
2.3438e+06,26.084,81.376,0.37489
2.3633e+06,26.391,63.513,0.37489
2.3828e+06,26.699,63.513,0.37489
2.4023e+06,27.006,63.513,0.37489
2.4219e+06,27.221,90.838,0.37489
2.4414e+06,27.436,90.838,0.37489
2.4609e+06,27.651,90.838,0.37489
2.4805e+06,27.866,90.838,0.37489
2.5e+06,28.116,78.121,0.37489
2.5195e+06,28.424,63.513,0.37489
2.5391e+06,28.729,64.034,0.37489
2.5586e+06,29.026,65.648,0.37489
2.5781e+06,29.241,90.838,0.37489
2.5977e+06,29.456,90.838,0.37489
2.6172e+06,29.671,90.838,0.37489
2.6367e+06,29.886,90.838,0.37489
2.6563e+06,30.147,75.116,0.37489
2.6758e+06,30.452,64.034,0.37489
2.6953e+06,30.759,63.513,0.37489
2.7148e+06,31.047,67.931,0.37489
2.7344e+06,31.262,90.838,0.37489
2.7539e+06,31.477,90.838,0.37489
2.7734e+06,31.692,90.838,0.37489
2.793e+06,31.904,91.907,0.37489
2.8125e+06,32.172,73.01,0.37489
2.832e+06,32.477,64.034,0.37489
2.8516e+06,32.784,63.513,0.37489
2.8711e+06,33.064,69.751,0.37489
2.8906e+06,33.279,90.838,0.37489
2.9102e+06,33.494,90.838,0.37489
2.9297e+06,33.707,91.907,0.37489
2.9492e+06,33.922,90.838,0.37489
2.9688e+06,34.197,71.019,0.37489
2.9883e+06,34.502,64.034,0.37489
3.0078e+06,34.807,64.034,0.37489
3.0273e+06,35.079,71.671,0.37489
3.0469e+06,35.294,90.838,0.37489
3.0664e+06,35.509,90.838,0.37489
3.0859e+06,35.722,91.907,0.37489
3.1055e+06,35.937,90.838,0.37489
3.125e+06,36.217,69.751,0.37489
3.1445e+06,36.524,63.513,0.37489
3.1641e+06,36.829,64.034,0.3749
3.1836e+06,37.094,73.699,0.3749
3.2031e+06,37.309,90.838,0.3749
3.2227e+06,37.524,90.838,0.3749
3.2422e+06,37.737,91.907,0.3749
3.2617e+06,37.952,90.838,0.37491
3.2813e+06,38.237,68.527,0.3749
3.3008e+06,38.544,63.513,0.3749
3.3203e+06,38.849,64.034,0.37488
3.3398e+06,39.109,75.116,0.37485
3.3594e+06,39.322,91.907,0.37481
3.3789e+06,39.537,90.838,0.37474
3.3984e+06,39.749,91.907,0.37466
3.418e+06,39.964,90.838,0.37457
3.4375e+06,40.257,66.77,0.37447
3.457e+06,40.562,64.034,0.37437
3.4766e+06,40.867,64.034,0.37428
3.4961e+06,41.122,76.589,0.37422
3.5156e+06,41.335,91.907,0.37419
3.5352e+06,41.55,90.838,0.37421
3.5547e+06,41.762,91.907,0.37427
3.5742e+06,41.977,90.838,0.37443
3.5938e+06,42.272,66.204,0.37478
3.6133e+06,42.58,63.513,0.37547
3.6328e+06,42.885,64.034,0.37675
3.6523e+06,43.132,78.91,0.37891
3.6719e+06,43.347,90.838,0.38228
3.6914e+06,43.56,91.907,0.38727
3.7109e+06,43.775,90.838,0.39425
3.7305e+06,43.987,91.907,0.4034
3.75e+06,44.29,64.563,0.41438
3.7695e+06,44.595,64.034,0.42593
3.7891e+06,44.9,64.034,0.43527
3.8086e+06,45.145,79.715,0.43755
3.8281e+06,45.357,91.907,0.42567
3.8477e+06,45.57,91.907,0.3918
3.8672e+06,45.785,90.838,0.33222
3.8867e+06,45.997,91.907,0.25391
3.9063e+06,46.305,63.513,0.17393
3.9258e+06,46.607,64.563,0.10822
3.9453e+06,46.912,64.034,0.06263
3.9648e+06,47.155,80.537,0.034498
3.9844e+06,47.367,91.907,0.018401
4.0039e+06,47.58,91.907,0.0096121
4.0234e+06,47.795,90.838,0.0049504
4.043e+06,48.012,89.794,0.002524
4.0625e+06,48.317,64.034,0.0012771
4.082e+06,48.622,64.034,0.00064222
4.1016e+06,48.927,64.034,0.00032132
4.1211e+06,49.162,83.108,0.00016006
4.1406e+06,49.375,91.907,7.9421e-05
4.1602e+06,49.59,90.838,3.9273e-05
4.1797e+06,49.802,91.907,1.936e-05
4.1992e+06,NaN,NaN,9.5163e-06
4.2188e+06,NaN,NaN,4.6655e-06
4.2383e+06,NaN,NaN,2.2818e-06
4.2578e+06,NaN,NaN,1.1135e-06
4.2773e+06,NaN,NaN,5.4226e-07
4.2969e+06,NaN,NaN,2.6356e-07
4.3164e+06,NaN,NaN,1.2786e-07
4.3359e+06,NaN,NaN,6.1926e-08
4.3555e+06,NaN,NaN,2.9943e-08
4.375e+06,NaN,NaN,1.4456e-08
4.3945e+06,NaN,NaN,6.9691e-09
4.4141e+06,NaN,NaN,3.3551e-09
4.4336e+06,NaN,NaN,1.6131e-09
4.4531e+06,NaN,NaN,7.7457e-10
4.4727e+06,NaN,NaN,3.7149e-10
4.4922e+06,NaN,NaN,1.7796e-10
4.5117e+06,NaN,NaN,8.516e-11
4.5313e+06,NaN,NaN,4.0708e-11
4.5508e+06,NaN,NaN,1.9439e-11
4.5703e+06,NaN,NaN,9.2737e-12
4.5898e+06,NaN,NaN,4.4199e-12
4.6094e+06,NaN,NaN,2.1046e-12
4.6289e+06,NaN,NaN,1.0013e-12
4.6484e+06,NaN,NaN,4.7593e-13
4.668e+06,NaN,NaN,2.2604e-13
4.6875e+06,NaN,NaN,1.0727e-13
4.707e+06,NaN,NaN,5.0863e-14
4.7266e+06,NaN,NaN,2.4099e-14
4.7461e+06,NaN,NaN,1.141e-14
4.7656e+06,NaN,NaN,5.3983e-15
4.7852e+06,NaN,NaN,2.5522e-15
4.8047e+06,NaN,NaN,1.2058e-15
4.8242e+06,NaN,NaN,5.6931e-16
4.8438e+06,NaN,NaN,2.6862e-16
4.8633e+06,NaN,NaN,1.2666e-16
4.8828e+06,NaN,NaN,5.9685e-17
4.9023e+06,NaN,NaN,2.8108e-17
4.9219e+06,NaN,NaN,1.3229e-17
4.9414e+06,NaN,NaN,6.2226e-18
4.9609e+06,NaN,NaN,2.9253e-18
4.9805e+06,NaN,NaN,1.3744e-18
5e+06,NaN,NaN,6.4538e-19
5.0195e+06,NaN,NaN,3.0289e-19
5.0391e+06,NaN,NaN,1.4207e-19
5.0586e+06,NaN,NaN,6.6606e-20
5.0781e+06,NaN,NaN,3.121e-20
5.0977e+06,NaN,NaN,1.4617e-20
5.1172e+06,NaN,NaN,6.8421e-21
5.1367e+06,NaN,NaN,3.2012e-21
5.1563e+06,NaN,NaN,1.497e-21
5.1758e+06,NaN,NaN,6.9975e-22
5.1953e+06,NaN,NaN,3.2692e-22
5.2148e+06,NaN,NaN,1.5267e-22
5.2344e+06,NaN,NaN,7.1261e-23
5.2539e+06,NaN,NaN,3.3248e-23
5.2734e+06,NaN,NaN,1.5505e-23
5.293e+06,NaN,NaN,7.2278e-24
5.3125e+06,NaN,NaN,3.3678e-24
5.332e+06,NaN,NaN,1.5685e-24
5.3516e+06,NaN,NaN,7.3025e-25
5.3711e+06,NaN,NaN,3.3983e-25
5.3906e+06,NaN,NaN,1.5808e-25
5.4102e+06,NaN,NaN,7.3505e-26
5.4297e+06,NaN,NaN,3.4165e-26
5.4492e+06,NaN,NaN,1.5874e-26
5.4688e+06,NaN,NaN,7.3723e-27
5.4883e+06,NaN,NaN,3.4227e-27
5.5078e+06,NaN,NaN,1.5884e-27
5.5273e+06,NaN,NaN,7.3686e-28
5.5469e+06,NaN,NaN,3.4171e-28
5.5664e+06,NaN,NaN,1.584e-28
5.5859e+06,NaN,NaN,7.3403e-29
5.6055e+06,NaN,NaN,3.4003e-29
5.625e+06,NaN,NaN,1.5745e-29
5.6445e+06,NaN,NaN,7.2885e-30
5.6641e+06,NaN,NaN,3.3727e-30
5.6836e+06,NaN,NaN,1.5601e-30
5.7031e+06,NaN,NaN,7.2144e-31
5.7227e+06,NaN,NaN,3.335e-31
5.7422e+06,NaN,NaN,1.5411e-31
5.7617e+06,NaN,NaN,7.1194e-32
5.7813e+06,NaN,NaN,3.2878e-32
5.8008e+06,NaN,NaN,1.5178e-32
5.8203e+06,NaN,NaN,7.0049e-33
5.8398e+06,NaN,NaN,3.2318e-33
5.8594e+06,NaN,NaN,1.4906e-33
5.8789e+06,NaN,NaN,6.8725e-34
5.8984e+06,NaN,NaN,3.1677e-34
5.918e+06,NaN,NaN,1.4596e-34
5.9375e+06,NaN,NaN,6.7238e-35
5.957e+06,NaN,NaN,3.0964e-35
5.9766e+06,NaN,NaN,1.4255e-35
5.9961e+06,NaN,NaN,6.5604e-36
6.0156e+06,NaN,NaN,3.0184e-36
6.0352e+06,NaN,NaN,1.3884e-36
6.0547e+06,NaN,NaN,6.3841e-37
6.0742e+06,NaN,NaN,2.9347e-37
6.0938e+06,NaN,NaN,1.3487e-37
6.1133e+06,NaN,NaN,6.1964e-38
6.1328e+06,NaN,NaN,2.8461e-38
6.1523e+06,NaN,NaN,1.3069e-38
6.1719e+06,NaN,NaN,5.9992e-39
6.1914e+06,NaN,NaN,2.7532e-39
6.2109e+06,NaN,NaN,1.2632e-39
6.2305e+06,NaN,NaN,5.7938e-40
6.25e+06,NaN,NaN,2.6568e-40
6.2695e+06,NaN,NaN,1.218e-40
6.2891e+06,NaN,NaN,5.5821e-41
6.3086e+06,NaN,NaN,2.5577e-41
6.3281e+06,NaN,NaN,1.1716e-41
6.3477e+06,NaN,NaN,5.3654e-42
6.3672e+06,NaN,NaN,2.4565e-42
6.3867e+06,NaN,NaN,1.1244e-42
6.4063e+06,NaN,NaN,5.1453e-43
6.4258e+06,NaN,NaN,2.3539e-43
6.4453e+06,NaN,NaN,1.0766e-43
6.4648e+06,NaN,NaN,4.923e-44
6.4844e+06,NaN,NaN,2.2506e-44
6.5039e+06,NaN,NaN,1.0286e-44
6.5234e+06,NaN,NaN,4.7e-45
6.543e+06,NaN,NaN,2.147e-45
6.5625e+06,NaN,NaN,9.8058e-46
6.582e+06,NaN,NaN,4.4773e-46
6.6016e+06,NaN,NaN,2.0439e-46
6.6211e+06,NaN,NaN,9.328e-47
6.6406e+06,NaN,NaN,4.2562e-47
6.6602e+06,NaN,NaN,1.9416e-47
6.6797e+06,NaN,NaN,8.8549e-48
6.6992e+06,NaN,NaN,4.0375e-48
6.7188e+06,NaN,NaN,1.8405e-48
6.7383e+06,NaN,NaN,8.3885e-49
6.7578e+06,NaN,NaN,3.8223e-49
6.7773e+06,NaN,NaN,1.7413e-49
6.7969e+06,NaN,NaN,7.9306e-50
6.8164e+06,NaN,NaN,3.6112e-50
6.8359e+06,NaN,NaN,1.644e-50
6.8555e+06,NaN,NaN,7.4829e-51
6.875e+06,NaN,NaN,3.4051e-51
6.8945e+06,NaN,NaN,1.5492e-51
6.9141e+06,NaN,NaN,7.0467e-52
6.9336e+06,NaN,NaN,3.2046e-52
6.9531e+06,NaN,NaN,1.457e-52
6.9727e+06,NaN,NaN,6.6233e-53
6.9922e+06,NaN,NaN,3.0101e-53
7.0117e+06,NaN,NaN,1.3678e-53
7.0313e+06,NaN,NaN,6.2136e-54
7.0508e+06,NaN,NaN,2.8222e-54
7.0703e+06,NaN,NaN,1.2816e-54
7.0898e+06,NaN,NaN,5.8184e-55
7.1094e+06,NaN,NaN,2.6411e-55
7.1289e+06,NaN,NaN,1.1986e-55
7.1484e+06,NaN,NaN,5.4385e-56
7.168e+06,NaN,NaN,2.4672e-56
7.1875e+06,NaN,NaN,1.119e-56
7.207e+06,NaN,NaN,5.0744e-57
7.2266e+06,NaN,NaN,2.3006e-57
7.2461e+06,NaN,NaN,1.0429e-57
7.2656e+06,NaN,NaN,4.7262e-58
7.2852e+06,NaN,NaN,2.1415e-58
7.3047e+06,NaN,NaN,9.7018e-59
7.3242e+06,NaN,NaN,4.3944e-59
7.3438e+06,NaN,NaN,1.99e-59
7.3633e+06,NaN,NaN,9.0104e-60
7.3828e+06,NaN,NaN,4.0789e-60
7.4023e+06,NaN,NaN,1.8461e-60
7.4219e+06,NaN,NaN,8.354e-61
7.4414e+06,NaN,NaN,3.7797e-61
7.4609e+06,NaN,NaN,1.7097e-61
7.4805e+06,NaN,NaN,7.7327e-62
7.5e+06,NaN,NaN,3.4966e-62
7.5195e+06,NaN,NaN,1.5808e-62
7.5391e+06,NaN,NaN,7.1458e-63
7.5586e+06,NaN,NaN,3.2295e-63
7.5781e+06,NaN,NaN,1.4593e-63
7.5977e+06,NaN,NaN,6.5928e-64
7.6172e+06,NaN,NaN,2.978e-64
7.6367e+06,NaN,NaN,1.3449e-64
7.6563e+06,NaN,NaN,6.073e-65
7.6758e+06,NaN,NaN,2.7417e-65
7.6953e+06,NaN,NaN,1.2376e-65
7.7148e+06,NaN,NaN,5.5854e-66
7.7344e+06,NaN,NaN,2.5203e-66
7.7539e+06,NaN,NaN,1.137e-66
7.7734e+06,NaN,NaN,5.129e-67
7.793e+06,NaN,NaN,2.3132e-67
7.8125e+06,NaN,NaN,1.0431e-67
7.832e+06,NaN,NaN,4.7027e-68
7.8516e+06,NaN,NaN,2.1199e-68
7.8711e+06,NaN,NaN,9.5543e-69
7.8906e+06,NaN,NaN,4.3054e-69
7.9102e+06,NaN,NaN,1.9398e-69
7.9297e+06,NaN,NaN,8.7384e-70
7.9492e+06,NaN,NaN,3.9358e-70
7.9688e+06,NaN,NaN,1.7724e-70
7.9883e+06,NaN,NaN,7.9805e-71
8.0078e+06,NaN,NaN,3.5927e-71
8.0273e+06,NaN,NaN,1.6171e-71
8.0469e+06,NaN,NaN,7.2777e-72
8.0664e+06,NaN,NaN,3.2748e-72
8.0859e+06,NaN,NaN,1.4733e-72
8.1055e+06,NaN,NaN,6.6274e-73
8.125e+06,NaN,NaN,2.9807e-73
8.1445e+06,NaN,NaN,1.3404e-73
8.1641e+06,NaN,NaN,6.0266e-74
8.1836e+06,NaN,NaN,2.7093e-74
8.2031e+06,NaN,NaN,1.2178e-74
8.2227e+06,NaN,NaN,5.4727e-75
8.2422e+06,NaN,NaN,2.4591e-75
8.2617e+06,NaN,NaN,1.1048e-75
8.2813e+06,NaN,NaN,4.9629e-76
8.3008e+06,NaN,NaN,2.229e-76
8.3203e+06,NaN,NaN,1.001e-76
8.3398e+06,NaN,NaN,4.4944e-77
8.3594e+06,NaN,NaN,2.0177e-77
8.3789e+06,NaN,NaN,9.0568e-78
8.3984e+06,NaN,NaN,4.0647e-78
8.418e+06,NaN,NaN,1.824e-78
8.4375e+06,NaN,NaN,8.1837e-79
8.457e+06,NaN,NaN,3.6712e-79
8.4766e+06,NaN,NaN,1.6467e-79
8.4961e+06,NaN,NaN,7.385e-80
8.5156e+06,NaN,NaN,3.3115e-80
8.5352e+06,NaN,NaN,1.4847e-80
8.5547e+06,NaN,NaN,6.6556e-81
8.5742e+06,NaN,NaN,2.9832e-81
8.5938e+06,NaN,NaN,1.3369e-81
8.6133e+06,NaN,NaN,5.9906e-82
8.6328e+06,NaN,NaN,2.6839e-82
8.6523e+06,NaN,NaN,1.2023e-82
8.6719e+06,NaN,NaN,5.3851e-83
8.6914e+06,NaN,NaN,2.4117e-83
8.7109e+06,NaN,NaN,1.0799e-83
8.7305e+06,NaN,NaN,4.8348e-84
8.75e+06,NaN,NaN,2.1643e-84
8.7695e+06,NaN,NaN,9.6874e-85
8.7891e+06,NaN,NaN,4.3354e-85
8.8086e+06,NaN,NaN,1.94e-85
8.8281e+06,NaN,NaN,8.6796e-86
8.8477e+06,NaN,NaN,3.8828e-86
8.8672e+06,NaN,NaN,1.7367e-86
8.8867e+06,NaN,NaN,7.7672e-87
8.9063e+06,NaN,NaN,3.4732e-87
8.9258e+06,NaN,NaN,1.5529e-87
8.9453e+06,NaN,NaN,6.9423e-88
8.9648e+06,NaN,NaN,3.1032e-88
8.9844e+06,NaN,NaN,1.3869e-88
9.0039e+06,NaN,NaN,6.1977e-89
9.0234e+06,NaN,NaN,2.7692e-89
9.043e+06,NaN,NaN,1.2372e-89
9.0625e+06,NaN,NaN,5.5265e-90
9.082e+06,NaN,NaN,2.4684e-90
9.1016e+06,NaN,NaN,1.1023e-90
9.1211e+06,NaN,NaN,4.9222e-91
9.1406e+06,NaN,NaN,2.1976e-91
9.1602e+06,NaN,NaN,9.8105e-92
9.1797e+06,NaN,NaN,4.379e-92
9.1992e+06,NaN,NaN,1.9543e-92
9.2188e+06,NaN,NaN,8.7211e-93
9.2383e+06,NaN,NaN,3.8913e-93
9.2578e+06,NaN,NaN,1.736e-93
9.2773e+06,NaN,NaN,7.744e-94
9.2969e+06,NaN,NaN,3.454e-94
9.3164e+06,NaN,NaN,1.5404e-94
9.3359e+06,NaN,NaN,6.8686e-95
9.3555e+06,NaN,NaN,3.0624e-95
9.375e+06,NaN,NaN,1.3652e-95
9.3945e+06,NaN,NaN,6.0855e-96
9.4141e+06,NaN,NaN,2.7123e-96
9.4336e+06,NaN,NaN,1.2087e-96
9.4531e+06,NaN,NaN,5.3858e-97
9.4727e+06,NaN,NaN,2.3995e-97
9.4922e+06,NaN,NaN,1.0689e-97
9.5117e+06,NaN,NaN,4.7613e-98
9.5313e+06,NaN,NaN,2.1206e-98
9.5508e+06,NaN,NaN,9.4433e-99
9.5703e+06,NaN,NaN,4.2048e-99
9.5898e+06,NaN,NaN,1.872e-99
9.6094e+06,NaN,NaN,8.3336e-100
9.6289e+06,NaN,NaN,3.7094e-100
9.6484e+06,NaN,NaN,1.6509e-100
9.668e+06,NaN,NaN,7.3465e-101
9.6875e+06,NaN,NaN,3.2689e-101
9.707e+06,NaN,NaN,1.4543e-101
9.7266e+06,NaN,NaN,6.4696e-102
9.7461e+06,NaN,NaN,2.8777e-102
9.7656e+06,NaN,NaN,1.2799e-102
9.7852e+06,NaN,NaN,5.6917e-103
9.8047e+06,NaN,NaN,2.531e-103
9.8242e+06,NaN,NaN,1.1254e-103
9.8438e+06,NaN,NaN,5.0048e-104
9.8633e+06,NaN,NaN,2.2266e-104
9.8828e+06,NaN,NaN,9.9186e-105
9.9023e+06,NaN,NaN,4.4329e-105
9.9219e+06,NaN,NaN,1.998e-105
9.9414e+06,NaN,NaN,9.1998e-106
9.9609e+06,NaN,NaN,4.4716e-106
9.9805e+06,NaN,NaN,2.5059e-106
