x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-4.4922e+05,NaN,NaN,0.42956
-4.2969e+05,NaN,NaN,0.42956
-4.1016e+05,NaN,NaN,0.42956
-3.9063e+05,NaN,NaN,0.42956
-3.7109e+05,NaN,NaN,0.42956
-3.5156e+05,NaN,NaN,0.42956
-3.3203e+05,NaN,NaN,0.42956
-3.125e+05,NaN,NaN,0.42956
-2.9297e+05,NaN,NaN,0.42956
-2.7344e+05,NaN,NaN,0.42956
-2.5391e+05,NaN,NaN,0.42956
-2.3438e+05,NaN,NaN,0.42956
-2.1484e+05,NaN,NaN,0.42956
-1.9531e+05,NaN,NaN,0.42956
-1.7578e+05,NaN,NaN,0.42956
-1.5625e+05,NaN,NaN,0.42956
-1.3672e+05,NaN,NaN,0.42956
-1.1719e+05,NaN,NaN,0.42956
-97656,NaN,NaN,0.42956
-78125,NaN,NaN,0.42956
-58594,NaN,NaN,0.42956
-39063,NaN,NaN,0.42956
-19531,NaN,NaN,0.42956
0,0.0025001,NaN,0.42956
19531,0.020001,1116,0.42956
39063,0.032502,1562.4,0.42956
58594,0.057503,781.21,0.42956
78125,0.10501,411.16,0.42956
97656,0.18501,244.13,0.42956
1.1719e+05,0.30502,162.75,0.42956
1.3672e+05,0.46002,126,0.42956
1.5625e+05,0.64003,108.5,0.42956
1.7578e+05,0.83504,100.16,0.42956
1.9531e+05,1.0451,93.001,0.42956
2.1484e+05,1.2626,89.794,0.42956
2.3438e+05,1.4851,87.777,0.42956
2.5391e+05,1.7101,86.801,0.42956
2.7344e+05,1.9351,86.801,0.42956
2.9297e+05,2.1601,86.801,0.42956
3.125e+05,2.3851,86.801,0.42956
3.3203e+05,2.6101,86.801,0.42956
3.5156e+05,2.8351,86.801,0.42956
3.7109e+05,3.0602,86.801,0.42956
3.9063e+05,3.2852,86.801,0.42956
4.1016e+05,3.5077,87.777,0.42956
4.2969e+05,3.7327,86.801,0.42956
4.4922e+05,3.9577,86.801,0.42956
4.6875e+05,4.1802,87.777,0.42956
4.8828e+05,4.4052,86.801,0.42956
5.0781e+05,4.6277,87.777,0.42956
5.2734e+05,4.8502,87.777,0.42956
5.4688e+05,5.0753,86.801,0.42956
5.6641e+05,5.2978,87.777,0.42956
5.8594e+05,5.5203,87.777,0.42956
6.0547e+05,5.7428,87.777,0.42956
6.25e+05,5.9653,87.777,0.42956
6.4453e+05,6.1853,88.774,0.42956
6.6406e+05,6.4078,87.777,0.42956
6.8359e+05,6.6303,87.777,0.42956
7.0313e+05,6.8528,87.777,0.42956
7.2266e+05,7.0729,88.774,0.42956
7.4219e+05,7.2954,87.777,0.42956
7.6172e+05,7.5154,88.774,0.42956
7.8125e+05,7.7354,88.774,0.42956
8.0078e+05,7.9579,87.777,0.42956
8.2031e+05,8.1779,88.774,0.42956
8.3984e+05,8.3979,88.774,0.42956
8.5938e+05,8.6179,88.774,0.42956
8.7891e+05,8.8404,87.777,0.42956
8.9844e+05,9.0605,88.774,0.42956
9.1797e+05,9.2805,88.774,0.42956
9.375e+05,9.5005,88.774,0.42956
9.5703e+05,9.7205,88.774,0.42956
9.7656e+05,9.9405,88.774,0.42956
9.9609e+05,10.158,89.794,0.42956
1.0156e+06,10.378,88.774,0.42956
1.0352e+06,10.598,88.774,0.42956
1.0547e+06,10.818,88.774,0.42956
1.0742e+06,11.038,88.774,0.42956
1.0938e+06,11.256,89.794,0.42956
1.1133e+06,11.476,88.774,0.42956
1.1328e+06,11.696,88.774,0.42956
1.1523e+06,11.913,89.794,0.42956
1.1719e+06,12.133,88.774,0.42956
1.1914e+06,12.351,89.794,0.42956
1.2109e+06,12.571,88.774,0.42956
1.2305e+06,12.788,89.794,0.42956
1.25e+06,13.008,88.774,0.42956
1.2695e+06,13.226,89.794,0.42956
1.2891e+06,13.446,88.774,0.42956
1.3086e+06,13.663,89.794,0.42956
1.3281e+06,13.881,89.794,0.42956
1.3477e+06,14.101,88.774,0.42956
1.3672e+06,14.318,89.794,0.42956
1.3867e+06,14.536,89.794,0.42956
1.4063e+06,14.756,88.774,0.42956
1.4258e+06,14.973,89.794,0.42956
1.4453e+06,15.191,89.794,0.42956
1.4648e+06,15.408,89.794,0.42956
1.4844e+06,15.626,89.794,0.42956
1.5039e+06,15.843,89.794,0.42956
1.5234e+06,16.063,88.774,0.42956
1.543e+06,16.281,89.794,0.42956
1.5625e+06,16.498,89.794,0.42956
1.582e+06,16.716,89.794,0.42956
